sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.22;5.08;7.84;-0.17;5.46;8.14;0.64;-0.59;0.39;-0.16;0.37;0.14;320.0;-31.26;28.62;10.01;59.47;-33.85;1.2;9.0;1010.14;62.2;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;24006;2014-12-10 11:20:01:052
-0.1;5.51;8.12;0.07;5.46;8.13;-0.12;0.02;0.05;0.13;-0.03;-0.04;320.0;-31.43;28.38;10.8;60.96;-33.88;-0.49;9.0;1010.14;62.507;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;24504;2014-12-10 11:20:01:550
-0.82;5.27;8.67;-0.27;5.42;8.16;0.16;-0.1;-0.18;-0.15;0.62;0.03;320.0;-31.62;27.78;10.01;61.41;-34.4;0.07;9.0;1010.14;59.904;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;25005;2014-12-10 11:20:02:051
0.0;5.44;8.31;0.08;5.38;8.19;0.03;0.06;0.09;0.02;0.08;-0.06;320.0;-31.38;28.26;10.8;60.41;-33.14;-0.91;9.0;1010.14;53.732;24.786316;120.99741;;97.1150131;;;65.353;;0 / 18;25504;2014-12-10 11:20:02:550
-0.03;5.46;8.21;0.11;5.48;8.12;0.03;-0.01;0.01;0.0;0.04;0.02;320.0;-31.85;28.5;11.58;61.36;-34.06;-0.85;9.0;1010.14;46.469;24.786316;120.99741;;97.1150131;;;65.353;;0 / 18;26005;2014-12-10 11:20:03:051
-0.38;5.45;8.02;0.19;5.54;8.08;-0.18;-0.08;-0.28;-0.06;0.3;0.02;320.0;-31.56;28.08;10.92;61.78;-34.43;-1.35;9.0;1010.14;54.731;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;26505;2014-12-10 11:20:03:551
-0.54;5.66;8.05;0.23;5.34;8.21;-0.23;0.22;-0.08;0.11;0.15;-0.15;320.0;-31.38;28.2;11.82;60.8;-32.61;-1.18;9.0;1010.14;47.922;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;27005;2014-12-10 11:20:04:051
-0.11;5.45;7.71;0.11;5.43;8.16;-0.07;0.04;-0.5;-0.24;0.04;0.15;320.0;-31.26;28.56;11.34;59.71;-33.88;-0.85;9.0;1010.14;42.974;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;27504;2014-12-10 11:20:04:550
0.21;5.39;8.17;0.25;5.56;8.06;0.02;-0.07;0.03;0.04;-0.03;-0.02;320.0;-31.62;27.9;11.46;61.41;-34.16;-2.05;9.0;1010.14;47.593;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;28004;2014-12-10 11:20:05:050
0.19;5.66;7.9;0.35;5.63;8.01;0.17;0.12;-0.01;0.11;0.05;-0.02;320.0;-31.38;28.26;12.0;61.46;-34.64;-3.13;9.0;1010.14;39.871;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;28504;2014-12-10 11:20:05:550
0.42;5.55;8.05;0.39;5.6;8.03;0.23;-0.22;0.17;-0.09;-0.26;0.05;320.0;-31.62;28.43;12.06;62.4;-34.86;-2.78;9.0;1010.14;35.541;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;29004;2014-12-10 11:20:06:050
0.21;5.42;7.96;0.06;5.58;8.06;0.01;0.02;0.12;0.1;0.39;0.07;320.0;-31.98;28.8;10.62;60.31;-34.65;-2.92;9.0;1010.13;34.27;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;29505;2014-12-10 11:20:06:551
0.58;5.38;7.69;0.73;5.6;8.01;0.22;-0.08;-0.23;-0.15;-0.16;-0.02;320.0;-31.56;29.4;12.17;61.25;-34.78;-2.71;9.0;1010.14;41.603;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;30005;2014-12-10 11:20:07:051
0.96;2.98;9.2;0.8;2.91;9.33;-0.24;-0.05;0.46;-0.21;0.24;0.07;320.0;-32.04;28.26;13.14;55.86;-21.94;-7.02;9.0;1010.14;44.393;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;30506;2014-12-10 11:20:07:552
0.69;4.33;8.81;0.25;4.39;8.76;0.43;-0.71;0.42;0.76;0.16;0.15;320.0;-31.14;28.8;10.5;55.64;-26.61;-1.63;9.0;1010.14;38.723;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;31004;2014-12-10 11:20:08:050
1.77;3.32;10.18;0.47;2.53;9.46;-0.57;-0.22;1.33;0.11;-1.42;-0.33;640.0;-31.98;26.51;9.78;53.61;-14.96;-2.84;9.0;1010.14;40.747;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;31504;2014-12-10 11:20:08:550
-1.22;4.36;9.29;-1.01;4.03;8.87;0.21;-0.06;0.23;-0.14;0.24;-0.02;320.0;-31.43;23.58;11.82;62.38;-25.19;3.62;9.0;1010.14;33.063;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;32005;2014-12-10 11:20:09:051
-0.89;4.3;8.98;-1.36;4.25;8.72;0.16;-0.01;0.27;0.06;-0.22;0.04;320.0;-31.2;23.04;9.66;63.28;-24.68;10.62;9.0;1010.14;32.941;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;32505;2014-12-10 11:20:09:551
-1.6;3.97;8.6;-1.37;4.28;8.71;-0.1;-0.13;-0.08;0.0;-0.01;0.1;320.0;-30.96;23.76;9.3;61.7;-25.58;8.85;9.0;1010.14;43.854;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;33004;2014-12-10 11:20:10:050
-1.54;3.98;8.7;-1.36;4.29;8.7;0.3;0.36;0.13;-0.02;0.02;0.17;320.0;-31.56;23.46;9.47;64.19;-25.97;8.88;9.0;1010.14;50.362;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;33504;2014-12-10 11:20:10:550
-2.53;4.74;8.85;-1.78;4.36;8.59;-1.01;-0.67;0.22;-0.67;0.41;-0.02;320.0;-31.26;24.42;6.6;61.61;-26.43;11.71;9.0;1010.14;42.06;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;34005;2014-12-10 11:20:11:051
1.4;4.8;9.6;-1.95;1.71;9.45;-6.82;-3.07;1.59;-0.96;1.59;-0.54;320.0;-30.78;24.66;7.02;57.29;-21.56;8.46;9.0;1010.14;40.279;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;34505;2014-12-10 11:20:11:551
-1.41;2.2;9.51;0.57;2.43;9.48;-0.86;-0.48;2.62;-0.12;0.38;0.46;320.0;-27.54;23.7;22.38;55.93;-14.18;6.47;9.0;1010.14;33.182;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;35005;2014-12-10 11:20:12:051
3.89;4.85;9.81;3.44;3.02;8.66;-2.71;-0.77;1.02;0.83;-1.79;0.05;320.0;-21.72;21.96;29.46;61.82;-15.94;-10.58;9.0;1010.14;33.195;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;35505;2014-12-10 11:20:12:551
1.49;3.6;10.22;1.05;3.7;9.01;-0.52;0.28;-1.04;-0.2;0.7;0.0;320.0;-23.22;23.88;22.38;59.47;-22.19;-6.65;9.0;1010.14;43.064;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;36005;2014-12-10 11:20:13:051
0.66;4.18;9.1;1.74;3.5;8.98;0.48;-0.22;-0.2;0.29;0.13;0.1;320.0;-23.04;22.38;24.3;63.37;-21.18;-7.36;9.0;1010.14;33.489;24.786316;120.99741;;97.1150131;;;65.353;;0 / 18;36505;2014-12-10 11:20:13:551
-0.05;4.88;8.14;0.48;4.85;8.5;-0.3;-0.07;-0.57;0.14;0.3;0.23;320.0;-23.64;25.8;21.96;59.6;-25.05;-7.64;9.0;1010.14;33.757;24.786316;120.99741;;97.1150131;;;65.353;;0 / 18;37005;2014-12-10 11:20:14:051
1.49;3.14;9.76;2.71;2.59;9.05;0.44;-0.23;-0.39;-0.58;-0.47;0.25;320.0;-22.38;30.35;23.58;50.69;-19.8;-13.1;9.0;1010.14;41.261;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;37504;2014-12-10 11:20:14:550
2.33;2.99;8.81;1.97;2.82;9.18;-0.32;0.11;-0.04;0.03;-0.16;-0.16;640.0;-22.68;32.52;20.93;44.8;-16.72;-12.11;9.0;1010.14;59.357;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;38005;2014-12-10 11:20:15:051
2.59;3.02;9.41;2.22;3.05;9.04;0.23;-0.27;-0.97;-0.14;-0.29;0.28;640.0;-22.26;32.7;23.34;45.88;-18.14;-13.8;9.0;1010.14;64.182;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;38504;2014-12-10 11:20:15:550
2.53;3.5;9.59;2.21;3.74;8.78;-0.32;-0.2;0.0;0.14;-0.28;-0.01;320.0;-22.43;31.92;22.02;48.18;-21.61;-13.84;9.0;1010.14;63.055;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;39004;2014-12-10 11:20:16:050
2.29;2.68;9.29;2.69;3.37;8.8;0.27;-0.57;0.46;0.2;0.18;-0.09;320.0;-22.68;32.04;23.7;50.03;-20.54;-16.32;9.0;1010.14;59.568;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;39504;2014-12-10 11:20:16:550
1.98;4.03;9.31;1.84;4.61;8.45;-0.89;1.39;0.36;0.06;0.2;-0.31;320.0;-22.2;31.43;21.48;52.58;-28.19;-14.55;9.0;1010.14;52.277;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;40005;2014-12-10 11:20:17:051
2.18;5.44;8.35;2.54;5.16;7.93;-0.55;-0.19;-0.6;0.42;-0.81;-0.46;320.0;-22.02;29.51;22.85;57.97;-31.79;-17.76;9.0;1010.14;65.544;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;40504;2014-12-10 11:20:17:550
1.78;7.46;6.59;3.25;7.09;5.93;-0.51;-0.41;-0.43;0.94;-0.81;-0.24;320.0;-21.54;30.3;21.35;62.91;-46.36;-28.73;9.0;1010.14;66.899;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;41004;2014-12-10 11:20:18:050
1.56;9.09;4.44;2.08;8.29;4.8;1.92;0.7;1.52;-0.18;0.39;0.33;320.0;-21.84;27.66;19.14;77.34;-63.97;-27.7;9.0;1010.14;44.623;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;41504;2014-12-10 11:20:18:550
